timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive
8,NORMAL,179.434951368027,52.0212618251556,0,0,25.2760470184024,0,0,28.5734233313494,127.413689542872,0,19686.7116656747,1040.42523650311,-18646.2864291716,1,1,baseline_C_asset_only,0,0,1,1
9,NORMAL,204.820843804893,43.9235438035653,0,0,17.1304191459709,0,0,20.994943402635,160.897300001327,0,15897.4717013175,878.470876071305,-15019.0008252462,1,1,baseline_C_asset_only,0,0,1,1
10,NORMAL,233.9947898688,44.3275385926174,0,0,17.4755045416628,0,0,21.3729967964191,189.667251276183,0,16086.4983982096,886.550771852348,-15199.9476263572,1,1,baseline_C_asset_only,0,0,1,1
11,NORMAL,254.1043898688,43.7201504533327,0,0,16.9566765394417,0,0,20.8045262461843,210.384239415467,0,15802.2631230921,874.403009066655,-14927.8601140255,1,1,baseline_C_asset_only,0,0,1,1
12,NORMAL,221.578,43.2995780482252,0,0,16.9049331755965,0,0,20.7478050269866,178.278421951775,0,15773.9025134933,865.991560964503,-14907.9109525288,1,1,baseline_C_asset_only,0,0,1,1
13,NORMAL,196.9996,42.9785531812369,0,0,16.6307146351922,0,0,20.4473351823884,154.021046818763,0,15623.6675911942,859.571063624738,-14764.0965275695,1,1,baseline_C_asset_only,0,0,1,1
14,NORMAL,159.0148,42.8464515075976,0,0,16.5178720661218,0,0,20.3236729604568,116.168348492402,0,15561.8364802284,856.929030151952,-14704.9074500765,1,1,baseline_C_asset_only,0,0,1,1
15,NORMAL,135.436,44.1333494462178,0,0,17.6171232361283,0,0,21.5280014710202,91.3026505537822,0,16164.0007355101,882.666988924355,-15281.3337465857,1,1,baseline_C_asset_only,0,0,1,1
16,NORMAL,124.074470669534,43.6809395253928,0,0,16.9231674281976,0,0,20.7676630881262,80.3935311441408,0,15783.8315440631,873.618790507856,-14910.2127535553,1,1,baseline_C_asset_only,0,0,1,1
17,NORMAL,115.865415331254,44.7612301685225,0,0,17.8459388180374,0,0,21.7786313530697,71.1041851627312,0,16289.3156765349,895.224603370451,-15394.0910731644,1,1,baseline_C_asset_only,0,0,1,1
18,NORMAL,111.446227758567,43.4348324404445,0,0,16.7129395319793,0,0,20.5372747591779,68.0113953181221,0,15668.637379589,868.69664880889,-14799.9407307801,1,1,baseline_C_asset_only,0,0,1,1
19,NORMAL,110.167470774166,43.7290798197537,0,0,16.9642789591763,0,0,20.8126154564419,66.4383909544127,0,15806.3077282209,874.581596395075,-14931.7261318259,1,1,baseline_C_asset_only,0,0,1,1
20,NORMAL,109.854633421327,43.3598000612357,0,0,16.6488416144462,0,0,20.4669892447738,66.4948333600917,0,15633.4946223869,867.196001224714,-14766.2986211622,1,1,baseline_C_asset_only,0,0,1,1
21,NORMAL,120.438633421327,44.741943091839,0,0,17.8294514491041,0,0,21.7604414875761,75.6966903294884,0,16280.2207437881,894.83886183678,-15385.3818819513,1,1,baseline_C_asset_only,0,0,1,1
22,NORMAL,135.451470774166,51.5861351056054,0,0,24.8853290026696,0,0,28.165565870142,83.8653356685611,0,19482.782935071,1031.72270211211,-18451.0602329589,1,1,baseline_C_asset_only,0,0,1,1
23,NORMAL,149.660359508325,51.7861143007426,0,0,25.0648740390166,0,0,28.3526714970511,97.8742452075826,0,19576.3357485255,1035.72228601485,-18540.6134625107,1,1,baseline_C_asset_only,0,0,1,1
24,NORMAL,176.716251931771,51.0064054445578,0,0,24.6880416062936,0,0,27.9598413090345,125.709846487213,0,19379.9206545173,1020.12810889116,-18359.7925456261,1,1,baseline_C_asset_only,0,0,1,1
25,NORMAL,211.253226442193,52.5414699508575,0,0,26.0663149340046,0,0,29.3969618001567,158.711756491335,0,20098.4809000784,1050.82939901715,-19047.6515010612,1,1,baseline_C_asset_only,0,0,1,1
26,NORMAL,234.917611746144,52.586495880273,0,0,26.1067777292938,0,0,29.4396308649004,182.331115865871,0,20119.8154324502,1051.72991760546,-19068.0855148447,1,1,baseline_C_asset_only,0,0,1,1
27,NORMAL,235.344559933185,51.695227988511,0,0,25.3066009595104,0,0,28.6060232724128,183.649331944674,0,19703.0116362064,1033.90455977022,-18669.1070764362,1,1,baseline_C_asset_only,0,0,1,1
28,NORMAL,209.956409748643,51.9526236020074,0,0,25.5377368891721,0,0,28.8474401693405,158.003786146636,0,19823.7200846703,1039.05247204015,-18784.6676126301,1,1,baseline_C_asset_only,0,0,1,1
29,NORMAL,173.53876448071,52.3262054562824,0,0,25.8731893919444,0,0,29.197608496443,121.212559024427,0,19998.8042482215,1046.52410912565,-18952.2801390959,1,1,baseline_C_asset_only,0,0,1,1
30,NORMAL,149.387038948077,52.5880492161495,0,0,26.1083195049675,0,0,29.4432080154366,96.7989897319275,0,20121.6040077183,1051.76098432299,-19069.8430233953,1,1,baseline_C_asset_only,0,0,1,1
31,NORMAL,119.828151936921,51.3664109350767,0,0,25.0115244326952,0,0,28.3003241298793,68.4617410018439,0,19550.1620649396,1027.32821870153,-18522.8338462381,1,1,baseline_C_asset_only,0,0,1,1
32,NORMAL,103.495924044676,42.8609367563383,0,0,16.5304938708845,0,0,20.3398361167673,60.634987288338,0,15569.9180583837,857.218735126766,-14712.6993232569,1,1,baseline_C_asset_only,0,0,1,1
33,NORMAL,99.4747257814166,43.2664550103452,0,0,16.8769173367283,0,0,20.719768829765,56.2082707710714,0,15759.8844148825,865.329100206903,-14894.5553146756,1,1,baseline_C_asset_only,0,0,1,1
34,NORMAL,111.328,43.7447930503232,0,0,17.2855435519924,0,0,21.167875948036,67.5832069496769,0,15983.937974018,874.895861006463,-15109.0421130115,1,1,baseline_C_asset_only,0,0,1,1
35,NORMAL,129.11085859082,43.9687809157251,0,0,17.1693983198193,0,0,21.0409454225665,85.1420776750949,0,15920.4727112832,879.375618314503,-15041.0970929687,1,1,baseline_C_asset_only,0,0,1,1
36,NORMAL,139.385415331254,44.3008392942727,0,0,17.4530744511847,0,0,21.3521490135898,95.0845760369812,0,16076.0745067949,886.016785885453,-15190.0577209094,1,1,baseline_C_asset_only,0,0,1,1
37,NORMAL,139.082227758567,43.8484079490697,0,0,17.0666469716718,0,0,20.929026817543,95.2338198094969,0,15864.5134087715,876.968158981394,-14987.5452497901,1,1,baseline_C_asset_only,0,0,1,1
38,NORMAL,137.803470774166,43.9452558921206,0,0,17.1494084507437,0,0,21.0200622969703,93.8582148820459,0,15910.0311484852,878.905117842411,-15031.1260306428,1,1,baseline_C_asset_only,0,0,1,1
39,NORMAL,123.966633421327,43.5225037074362,0,0,16.7883333136858,0,0,20.6247016140389,80.4441297138912,0,15712.3508070194,870.450074148723,-14841.9007328707,1,1,baseline_C_asset_only,0,0,1,1
40,NORMAL,100.171470774166,43.8664018932484,0,0,17.0821221690806,0,0,20.9470036314146,56.305068880918,0,15873.5018157073,877.328037864968,-14996.1737778423,1,1,baseline_C_asset_only,0,0,1,1
41,NORMAL,79.9974153312537,42.8397554012603,0,0,16.2052092392539,0,0,19.9862994665775,37.1576599299935,0,15393.1497332888,856.795108025206,-14536.3546252636,1,1,baseline_C_asset_only,0,0,1,1
42,NORMAL,70.756,43.6777049945773,0,0,17.2285174951276,0,0,21.1081252771297,27.0782950054227,0,15954.0626385649,873.554099891546,-15080.5085386733,1,1,baseline_C_asset_only,0,0,1,1
43,NORMAL,81.34,43.0264971334299,0,0,16.6722981674182,0,0,20.4988640975327,38.31350286657,0,15649.4320487664,860.529942668599,-14788.9021060978,1,1,baseline_C_asset_only,0,0,1,1
44,NORMAL,111.328,43.2195228571942,0,0,16.8372133088906,0,0,20.6799421363585,68.1084771428059,0,15739.9710681793,864.390457143883,-14875.5806110354,1,1,baseline_C_asset_only,0,0,1,1
45,NORMAL,186.9448,43.2859623599975,0,0,16.89400012866,0,0,20.7425160919811,143.658837640003,0,15771.2580459905,865.719247199949,-14905.5387987906,1,1,baseline_C_asset_only,0,0,1,1
46,NORMAL,364.5796,42.4098696879284,0,0,16.1456888874265,0,0,19.9226733376871,322.169730312071,0,15361.3366688436,848.197393758569,-14513.139275085,1,1,baseline_C_asset_only,0,0,1,1
47,NORMAL,576.31054904882,43.8021465419393,0,0,17.3349892210841,0,0,21.2265358273931,532.508402506881,0,16013.2679136966,876.042930838785,-15137.2249828578,1,1,baseline_C_asset_only,0,0,1,1
0,NORMAL,327.969049616543,293.043100917298,200,0,0,184,0,4.90152819036143,34.9259486992456,0,52010.7640951807,5860.86201834596,-68010.9020768348,1,1,mix_E100,1,0,0,1
1,NORMAL,314.917570879358,226.572532485282,200,0,0,184,0,4.75666503637626,88.3450383940763,0,51938.3325181881,4531.45064970563,-47406.8818684825,1,1,mix_E100,1,0,0,1
