strategyId,phase,startH,endH,eAvailableMWh,eCableSendMWh,eElectrolyzerInputMWh,eFlexibleComputeInputMWh,eBaseComputeServedMWh,eCurtailmentMWh,eBessChargeMWh,eBessDischargeMWh,ensMWh
mix_E30_H30_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0.0140652607184109,0,15.3262066040024,0
mix_E30_H30_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_E30_H30_C40,P3_COMPUTE_START,12,18,1394.7460423458,0,0,600,120,545.806042345804,0,0,0
mix_E30_H30_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,506.382167827574,0,600,120,662.933572009079,0,0,0
mix_E30_H30_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,507.606086149703,600,600,120,573.156147460802,0,0,0
mix_E30_H30_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1000,600,600,120,1756.89484707556,71.7025178838913,0,0
mix_E30_H30_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,32,13.8400269024362,80,0,0,119.7,0
mix_E30_H30_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,633.885012799277,0,160,294.384139088705,100,0,0
mix_E20_H40_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,-2.8421709430404e-14,0,15.312141343284,0
mix_E20_H40_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9176249805263,0,19.9469365402155,0
mix_E20_H40_C40,P3_COMPUTE_START,12,18,1394.7460423458,0,0,594.2712,120,551.534842345804,0,0,0
mix_E20_H40_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,191.690580717895,0,537.736337798857,120,1039.8888213199,0,0,0
mix_E20_H40_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,544.27192905382,600,491.39664,120,645.093664556685,0,0,0
mix_E20_H40_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,320.073384418216,600,594.2712,120,2442.55297125204,71.6998092891961,0,0
mix_E20_H40_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_E20_H40_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,760.628172058434,0,160,167.640979829549,100,0,0
mix_E20_H60_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0.00721647754052412,0,15.3193578208245,0
mix_E20_H60_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_E20_H60_C20,P3_COMPUTE_START,12,18,1394.7460423458,0,0,108.5424,120,1037.2636423458,0,0,0
mix_E20_H60_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,91.885585848576,0,297.10512,120,1380.32503398808,0,0,0
mix_E20_H60_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,200,600,249.738464433434,120,1231.02376917707,0,0,0
mix_E20_H60_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,400,600,105.68816,120,2851.21427575498,71.6949292044698,0,0
mix_E20_H60_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_E20_H60_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,760.628172058434,0,160,167.640979829549,100,0,0
mix_E20_H20_C60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0.0116132373977109,0,15.3237545806817,0
mix_E20_H20_C60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_E20_H20_C60,P3_COMPUTE_START,12,18,1394.7460423458,0,0,600,120,545.806042345804,0,0,0
mix_E20_H20_C60,P4_CABLE_SATURATION,18,24,2016.09573983665,382.731037341205,0,600,120,786.584702495448,0,0,0
mix_E20_H20_C60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,260.662075383773,451.093,600,120,969.007158226732,0,0,0
mix_E20_H20_C60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,200,476.639423997476,600,120,2680.25814000143,71.6998009605443,0,0
mix_E20_H20_C60,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0,45.8400269024362,80,0,0,119.7,0
mix_E20_H20_C60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,0,160,928.269151887978,100.000000000004,0,0
