strategyId,eventName,rowIndex,timeH,pSourceAvailableMW,sourceRampMWPerH,pBessChargeMW,pBessDischargeMW,bessSOC,pCableSendMW,pElectrolyzerMW,pComputeFacilityMW,pCurtailmentMW,dynamicValidationStatus,requiredOutputs,formulaStatus
mix_E80_H20,MAX_CURTAILMENT,35,34,759.355001656074,30.4024092373687,0,0,0.5515625,200,100,20,417.865001656074,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_BESS_DISCHARGE,37,36,24.5764345126825,-747.296548409235,0,38.3935923897537,0.6411605763832,0,21.8400269024362,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_BESS_CHARGE,48,47,219.854425538133,7.49101941709444,75,0,0.7,0,100,20,3.36442553813296,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,26.5969442427042,0.10625,0,8,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,0,0.468041112158546,200,100,20,309.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,38.3935923897537,0.6411605763832,0,21.8400269024362,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_CABLE_SEND,19,18,323.861037341205,24.8231194621904,0,0,0.468041112158546,200,0,20,82.7310373412051,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_ELECTROLYZER_LOAD,26,25,407.676280732512,18.0701401625028,0,0,0.468041112158546,0,100,20,266.186280732512,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,0,0.468041112158546,0,0,20,130.210122098554,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_H40,MAX_CURTAILMENT,36,35,771.872982921918,12.5179812658437,0,0,0.89375,200,100,20,430.382982921918,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_BESS_DISCHARGE,38,37,19.6964741183834,-4.8799603942991,0,43.2735527840528,0.447518958740985,0,21.8400269024362,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_BESS_CHARGE,48,47,219.854425538133,7.49101941709444,75,0,0.7,0,100,20,3.36442553813296,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,26.5969442427042,0.10625,0,8,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,0,0.46806435379402,0,100,20,509.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,24.5535654873175,0.732213384951859,0,8,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_CABLE_SEND,20,19,326.048594925812,2.18755758460668,0,0,0.46806435379402,200,0,20,84.9185949258118,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_ELECTROLYZER_LOAD,26,25,407.676280732512,18.0701401625028,0,0,0.46806435379402,0,100,20,266.186280732512,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,0,0.46806435379402,0,0,20,130.210122098554,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_H60,MAX_CURTAILMENT,34,33,728.952592418705,32.5755656305126,0,0,0.89375,52.9597302820095,100,20,534.502862136696,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_BESS_DISCHARGE,37,36,24.5764345126825,-747.296548409235,0,38.3935923897537,0.641160576383199,0,21.8400269024362,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_BESS_CHARGE,48,47,219.854425538133,7.49101941709444,75,0,0.7,0,40,20,63.364425538133,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,26.5969442427042,0.10625,0,8,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,0,0.46807487131395,0,100,20,509.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,38.3935923897537,0.641160576383199,0,21.8400269024362,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_CABLE_SEND,35,34,759.355001656074,30.4024092373687,0,0,0.46807487131395,200,100,20,417.865001656074,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
