timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
10,36.5146503435332,36.4645281172489,0.152,0.731817987987819,0,0,0,0,7.86252811724887,7.86252811724887,0.857551790171868,34.3020716068747,138.497941117648,0,0,2.2021172637706,1,0,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,8.30261192503957,0,0,8,35810.5098039216,0,18,18,0,0,2.381919995,2.381919995,2.1913663954,0.1905535996,138.497941117648,137.112961706472,137.112961706472,0,2.381919995,0,2.381919995,0,3.83026943495679e-15,0,0,0,31.3530140896396,31.3530140896396,0.12,0.639857430400807,3.80556347000967,3.75544124372538,0.008,0.0571894605643459,1.35607278388394,1.35607278388394,0.024,0.0347710970226651
11,35.7421796031015,35.5517078152858,0.143,0.706621539269313,0,0,0,0,6.95870781528582,6.95870781528582,0.857551790171868,34.3020716068747,122.577203017189,0,0,1.94897752797331,1,0,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,6.82261192503957,0,0,8,35810.5098039216,0,18,18,0,0,2.381919995,2.381919995,2.1913663954,0.1905535996,122.577203017189,121.351430987017,121.351430987017,0,2.381919995,0,2.381919995,0,3.49720252756924e-15,0,0,0,31.6570426085536,31.6065708207379,0.12,0.645032057566081,3.94,3.8,0.008,0.0578680203045685,0.145136994547885,0.145136994547885,0.015,0.00372146139866371
12,26.4514203666598,26.3114203666598,0.134,0.517284762481299,0,0,0,0,0,0,0.857551790171868,34.3020716068747,0,0,0,0,0,0,7.72742036665979,7.618080005,7.08,0.538080005,1.07600000070621,7.08,5.34261192503956,0,0,8,35810.5098039216,0,18,18,0,0,0.109340361659792,0.109340361659792,0.100593132727009,0.00874722893278336,0,0,0,0,0.109340361659792,0,0.109340361659792,0,0,0,0,-3.88578058618805e-16,22.5114203666598,22.5114203666598,0.12,0.45941674217673,3.94,3.8,0.008,0.0578680203045685,0,0,0.006,0
13,23.9153043080599,23.8695453024216,0.149,0.468840896496277,0,0,0,0,0,0,0.857551790171868,34.3020716068747,0,0,0,0,0,0,5.2705453024216,5.27054107291576,4.85365522004292,0.416885852872833,1.08589111380457,3.89950745720418,6.94261192503957,0.100492542795824,0,8,23182.9541377315,7881.76806241759,18,18,0,0,4.22950584688664e-06,4.22950584688664e-06,3.89114537913571e-06,3.38360467750931e-07,0,0,0,0,4.22950584688664e-06,0,4.22950584688664e-06,0,1.66533453693773e-16,0,0,0,19.8952448687583,19.8952448687583,0.12,0.406025405484862,3.79983110552558,3.75407209988728,0.008,0.057168610658182,0.220228333776071,0.220228333776071,0.021,0.00564688035323259
14,25.8478681838627,25.8478681838627,0.152,0.517197092228334,0,0,0,0,0,0,0.857551790171868,34.3020716068747,0,0,0,0,0,0,7.2458681838627,7.24586597556134,6.72706722716478,0.518798748396559,1.07712108871182,6.57581032452112,5.96680160051844,0,0,8,33841.2042479335,0,18,18,0,0,2.20830135688743e-06,2.20830135688743e-06,2.03163724833644e-06,1.76664108550994e-07,0,0,0,0,2.20830135688743e-06,0,2.20830135688743e-06,0,2.77555756156289e-16,0,0,0,21.3409996324441,21.3409996324441,0.12,0.435530604743757,3.25511851606824,3.25511851606824,0.008,0.0495703327320037,1.25175003535036,1.25175003535036,0.024,0.0320961547525733
15,0,0,0.038,0,0,0,13.088,13.088,0,0,0.513130737540289,20.5252295016116,0,0,0,0,0,0,0,0,0,0,NaN,0,7.56680160051844,4,0,8,0,313725.490196078,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-4.44089209850063e-16,0,0,0.03,0,0,0,0.002,0,0,0,0.006,0
16,20.0518251436805,12.7673093550132,0.1075,0.261718138206253,0,0,0.390190644986815,0.390190644986815,0,0,0.502862562672215,20.1145025068886,0,0,0,0,0,0,0,0,0,0,NaN,0,9.16680160051844,4,0,8,0,313725.490196078,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-7.7715611723761e-16,18.4314902607147,11.1972126283242,0.0825,0.228514543435187,0.67757295664541,0.67757295664541,0.0055,0.0103183698981534,0.942761926320413,0.892523770043593,0.0195,0.0228852248729126
17,33.5528390204214,32.9230436386777,0.152,0.670022836516104,0,0,0,0,0,0,0.502862562672215,20.1145025068886,0,0,0,0,0,0,0,0,0,0,NaN,0,10.7668016005184,4,0,8,0,313725.490196078,18,18,0,14.3210436386777,14.3210436386777,14.3210436386777,13.1753601475835,1.14568349109422,0,0,0,0,0,0,0,0,0,0,0,-1.03805852802452e-14,32.5773824781402,31.9475870963965,0.12,0.651991573395846,0.670384303455753,0.670384303455753,0.008,0.0102088980221688,0.305072238825487,0.305072238825487,0.024,0.0078223650980894
18,31.1099328316047,31.1099328316047,0.134,0.634660445636412,0,0,0,0,0,0,0.502862562672215,20.1145025068886,0,0,0,0,0,0,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,9.28680160051844,0,0,8,35810.5098039216,0,18,18,0,2.52593283160472,4.90785282660472,4.90785282660472,4.51522460047634,0.392628226128378,0,0,0,0,2.381919995,0,2.381919995,0,3.1641356201817e-15,0,0,0,31.0643431096478,31.0643431096478,0.12,0.633966185911179,0.0455897219569483,0.0455897219569483,0.008,0.000694259725232715,0,0,0.006,0
19,31.8692068986268,31.7435664661173,0.1475,0.648828326721602,0,0,0,0,0,0,0.502862562672215,20.1145025068886,0,0,0,0,0,0,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,7.80680160051844,0,0,8,35810.5098039216,0,18,18,0,3.14606646611731,5.52798646111731,5.52798646111731,5.08574754422793,0.442238916889385,0,0,0,0,2.381919995,0,2.381919995,0,0,0,0,-3.38618022510673e-15,31.6780228799861,31.5523824474767,0.12,0.643926172397483,0,0,0.008,0,0.191184018640633,0.191184018640633,0.0195,0.0049021543241188
20,13.0482226184558,13.0482226184558,0.107,0.272960601099881,0,0,0.108777381544169,0.108777381544169,0,0,0.5,20,0,0,0,0,0,0,0,0,0,0,NaN,0,9.40680160051844,4,0,8,0,313725.490196078,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-1.38777878078145e-15,11.7735199602462,11.7735199602462,0.075,0.240275917556046,0,0,0.008,0,1.27470265820958,1.27470265820958,0.024,0.0326846835438355
21,16.2750355842683,14.8252870065553,0.1295,0.311976029961097,0,0,0,0,0,0,0.5,20,0,0,0,0,0,0,0,0,0,0,NaN,0,11.0068016005184,4,0,8,0,313725.490196078,18,14.2457870065553,3.7542129934447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7542129934447,-4.10782519111308e-15,14.3905549299476,13.0252870065553,0.0975,0.265822183807251,0,0,0.008,0,1.88448065432071,1.8,0.024,0.0461538461538462
22,23.4465841679643,23.4219630169904,0.152,0.486640908645993,0,0,0,0,0,0,0.5,20,0,0,0,0,0,0,4.69943406237078,4.69943034882553,4.31188053077522,0.387549818050315,1.08987953522465,3.12554361539317,13.4068016005184,0.874456384606829,0,8,18581.6632193571,68584.814478967,18,18,0,0.120528954619577,0.12053266816482,0.12053266816482,0.110890054711634,0.00964261345318559,0,0,0,0,3.71354524286716e-06,0,3.71354524286716e-06,0,2.77555756156289e-16,0,0,0,21.7705411410034,21.7705411410034,0.12,0.444296757979662,0,0,0.008,0,1.67604302696084,1.65142187598692,0.024,0.0423441506663312
23,22.621245154108,22.621245154108,0.152,0.464660452252233,0,0,0,0,0,0,0.5,20,0,0,0,0,0,0,4.01924515410805,4.01924169342652,3.66655517670197,0.352686516724547,1.09619015662592,2.20365025243139,15.8068016005184,1.79634974756861,0,8,13100.916794847,512814.919821501,18,18,0,0,3.46068152445866e-06,3.46068152445866e-06,3.18382700250197e-06,2.76854521956693e-07,0,0,0,0,3.46068152445866e-06,0,3.46068152445866e-06,0,2.77555756156289e-16,0,0,0,22.0474888297277,22.0474888297277,0.12,0.449948751627097,0,0,0.008,0,0.573756324380301,0.573756324380301,0.024,0.0147117006251359
