timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
20,195.723339276837,195.723339276837,1.605,4.09440901649822,0,0,0,0,55.6683392768375,55.6683392768375,0.9,144,980.594315251673,0,0,15.5914496125016,3,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,980.594315251673,960.98242894664,0,960.98242894664,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-2.15938378289593e-14,176.602799403694,176.602799403694,1.125,3.60413876334069,0,0,0.12,0,19.1205398731438,19.1205398731438,0.36,0.490270253157533
21,244.125533764024,222.379305098329,1.9425,4.67964044941646,0,0,0,0,81.9868050983295,81.9868050983295,0.9,144,1444.19244492389,0,0,22.9626598742899,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,1444.19244492389,1415.30859602541,0,1415.30859602541,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-1.58206781009085e-14,215.858323949213,195.379305098329,1.4625,3.98733275710876,0,0,0.12,0,28.2672098148107,27,0.36,0.692307692307692
22,351.698762519464,351.329445254855,2.28,7.2996136296899,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,110.599445254855,110.599445254855,110.599445254855,101.751489634467,8.84795562038839,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,2.8421709430404e-14,0,3.02591285361586e-13,0,0,0,326.558117115052,326.558117115052,1.8,6.66445136969493,0,0,0.12,0,25.1406454044126,24.7713281398038,0.36,0.635162259994968
23,339.318677311621,339.318677311621,2.28,6.96990678378349,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,98.5886773116207,98.5886773116207,98.5886773116207,90.701583126691,7.88709418492965,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-1.00475183728577e-14,330.712332445916,330.712332445916,1.8,6.74923127440645,0,0,0.12,0,8.60634486570451,8.60634486570451,0.36,0.220675509377039
24,469.934351684616,467.829089242589,2.13375,9.55092977466504,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,27.2453392425894,0,0,0,469.285119792226,467.179857350199,1.8,9.5342828030653,0,0,0.12,0,0.649231892389913,0.649231892389913,0.21375,0.0166469715997414
25,489.355267625039,488.302622596417,2.28,10.037888775746,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,47.5726225964171,0,0,0,475.494950705998,474.442305677376,1.8,9.68249603423217,0,0,0.12,0,13.860316919041,13.860316919041,0.36,0.355392741513872
26,505.547463514703,503.178024163524,2.28,10.4090202337639,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,62.4480241635242,0,0,0,477.243482585138,476.408551728987,1.8,9.7226235046732,0,0,0.12,0,28.3039809295655,26.7694724345375,0.36,0.686396729090705
27,499.366976964403,496.780941167629,2.28,10.2796738385858,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,56.0509411676294,0,0,0,470.213882349148,469.780941167629,1.8,9.58736614627815,0,0,0.12,0,29.1530946152546,27,0.36,0.692307692307692
28,362.600171717232,362.492490196874,2.28,7.50388908071456,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,121.762490196874,121.762490196874,121.762490196874,112.021490981124,9.74099921574991,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,2.8421709430404e-14,0,4.02067268368e-13,0,0,0,342.219998640132,342.219998640132,1.8,6.98408160490065,0,0,0.12,0,20.3801730771004,20.2724915567427,0.36,0.519807475813915
29,302.243257816151,302.243257816151,2.22375,6.18294382018597,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,61.5695078161511,61.5695078161512,61.5695078161512,56.6439471908591,4.92556062529209,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-4.42423875313125e-14,299.431399261602,299.431399261602,1.8,6.11084488288983,0,0,0.12,0,2.81185855454921,2.81185855454921,0.30375,0.0720989372961336
