timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
34,NORMAL,136.9747898688,136.9747898688,74.6141729204093,20,15.7905073709991,68.6450390867766,0,19.4832212125076,0,0,39853.8246774933,3972.54142006404,-45872.4757886958,1,1,model_causal_reserve_1h_annual,0.675824364723202,0.181151740553126,0.143023894723673,1,136.9747898688,136.9747898688,0,0,0,0.89375,20,52330.4562268804,0,74.6141729204093,20.8706169483909,0,0,107.8,0,29.1747898688002
35,NORMAL,109.9267898688,109.9267898688,47.7087727856007,20,15.6686957112733,43.8920709627526,0,19.3500456909544,0,0,30876.1683920682,3431.58142006404,-37435.7795032706,1,1,model_causal_reserve_1h_annual,0.572202222563154,0.239872958013229,0.187924819423617,1,109.9267898688,109.9267898688,0,0,0,0.89375,20,52682.7549762198,0,47.7087727856007,20.7280170831995,0,0,80.752,0,29.1747898688002
36,NORMAL,44.884,44.884,0,20,15.5840790765309,0,0,19.2575206141665,0,0,15028.7603070832,2636.97447689529,-16219.17652251,1,1,model_causal_reserve_1h_annual,0,0.562049110698802,0.437950889301198,1,44.884,44.884,0,0,16.8749618069084,0.782730514428234,20,53035.0537255593,0,0,20.6289618069085,0,0,44.884,0,0
37,NORMAL,28.3808,28.3808,0,20,16.9811294315886,0,0,20.7842721684675,0,0,15792.1360842337,2851.07279494816,-10143.0390916306,1,1,model_causal_reserve_1h_annual,0,0.540816365195066,0.459183634804934,1,28.3808,28.3808,0,0,35.0137057420042,0.552377187178206,20,53387.3524748987,0,0,22.2645057420042,0,0,28.3808,0,0
38,NORMAL,31.2032,31.2032,0,20,16.3301919860683,0,0,20.0728300104795,0,0,15436.4150052398,2799.98732360575,-11147.6706613762,1,1,model_causal_reserve_1h_annual,0,0.550506311876069,0.449493688123931,1,31.2032,31.2032,0,0,31.4292566972569,0.345605761538359,20,53739.6512242381,0,0,21.5024566972569,0,0,31.2032,0,0
39,NORMAL,88.396,88.396,25.963359773918,20,16.1595064006129,23.8862909920046,0,19.8862420144398,0,0,23942.1857643415,3000.96562268804,-30932.41267292,1,1,model_causal_reserve_1h_annual,0.417935639044331,0.3219426473951,0.260121713560569,1,88.396,88.396,0,0,0,0.345605761538359,20,54091.9499735776,0,25.963359773918,21.302640226082,0,0,88.396,0,0
40,NORMAL,195.810470669534,195.810470669534,133.36426074235,20,15.8635860763866,122.695119882962,0,19.5627898985142,0,0,59351.6381071235,5149.25503607871,-64193.5756023113,1,1,model_causal_reserve_1h_annual,0.788075149861117,0.118183859075052,0.0937409910638313,1,195.810470669534,195.810470669534,0,0,0,0.345605761538359,20,54444.248722917,0,133.36426074235,20.9562099271834,0,0,193.648,0,2.16247066953362
41,NORMAL,354.534615331254,337.347778558835,200,20,15.7795022637687,184,0,19.4708479550394,17.1868367724186,0,129215.42397752,7980.00119386474,-155950.365314921,1,1,model_causal_reserve_1h_annual,0.84825015779471,0.084825015779471,0.0669248264258191,1,354.534615331254,337.347778558835,17.1868367724186,75,0,0.790918261538359,20,54796.5474722565,0,200,20.8577785588352,0,0,351.1732,0,3.36141533125378
42,NORMAL,480.710227758567,280.392334961702,200,20,16.3992294811585,184,0,20.1480736750394,200.317892796865,0,129554.03683752,6840.89232192208,-138413.555166254,1,1,model_causal_reserve_1h_annual,0.846026446190005,0.0846026446190005,0.0693709091909943,1,480.710227758567,280.392334961702,200.317892796865,17.3190296356449,0,0.89375,20,55148.8462215959,0,200,21.5833053260572,0,0,475.888,0,4.82222775856656
43,NORMAL,554.597470774167,262.558273123925,200,20,15.9592918359939,184,0,19.6672336951372,292.039197650242,0,129313.616847569,6484.21108516653,-132820.598293669,1,1,model_causal_reserve_1h_annual,0.847603832185647,0.0847603832185647,0.0676357845957879,1,554.597470774167,262.558273123925,292.039197650242,0,0,0.89375,20,55501.1449709353,0,200,21.0682731239246,0,0,548.114,0,6.48347077416645
44,NORMAL,596.914633421327,263.226521140944,200,20,16.5300930914909,184,0,20.2909854338837,333.688112280384,0,129625.492716942,6497.57604550691,-133119.109202701,1,1,model_causal_reserve_1h_annual,0.845558370125188,0.0845558370125188,0.0698857928622935,1,596.914633421327,263.226521140944,333.688112280384,0,0,0.89375,20,55853.4437202748,0,200,21.7365211409437,0,0,588.392,0,8.52263342132742
45,NORMAL,605.538633421327,262.464084160319,200,20,15.8788262142854,184,0,19.579196733219,343.074549261009,0,129269.598366609,6482.32730589442,-132778.463591982,1,1,model_causal_reserve_1h_annual,0.847892976278884,0.0847892976278884,0.067317726093228,1,605.538633421327,262.464084160319,343.074549261009,0,0,0.89375,20,56205.7424696142,0,200,20.9740841603189,0,0,597.016,0,8.52263342132742
46,NORMAL,606.635470774166,270.280798871897,200,20,23.708195956244,184,0,26.8759820432515,336.35467190227,0,85077.9910216257,6638.66160012597,-88430.5219527663,1,1,model_causal_reserve_1h_annual,0.82065356569259,0.082065356569259,0.0972810777381512,1,606.635470774166,270.280798871897,336.35467190227,0,0,0.89375,20,56558.0412189537,0,200,28.7907988718967,0,0,600.152,0,6.48347077416645
47,NORMAL,602.160518878961,272.145064426167,200,20,25.381989641335,184,0,28.6161776031624,330.015454452793,0,85948.0888015812,6675.94691121139,-89263.3344216363,1,1,model_causal_reserve_1h_annual,0.81505574346484,0.081505574346484,0.103438682188676,1,602.160518878961,272.145064426167,330.015454452793,0,0,0.89375,20,56910.3399682931,0,200,30.6550644261674,0,0,594.664,2.67429112039414,4.82222775856656
48,NORMAL,610.08885020928,269.500015237995,200,20,23.3303921496793,184,0,26.4830329660831,340.588834971285,0,62801.5164830416,6623.04592744795,-66169.6630868601,1,1,model_causal_reserve_1h_annual,0.821927742905927,0.0821927742905927,0.0958794828034804,1,610.08885020928,269.500015237995,340.588834971285,0,0,0.89375,20,57262.6387176325,0,200,28.3700152379953,0,0,590.352,19.7368502092799,0
49,NORMAL,614.587903583959,269.127003822807,200,20,22.9955178359181,184,0,26.1351652575712,345.460899761152,0,62627.5826287856,6615.58569914418,-66003.1894609079,1,1,model_causal_reserve_1h_annual,0.823060448938195,0.0823060448938195,0.094633506167985,1,614.587903583959,269.127003822807,345.460899761152,0,0,0.89375,20,57614.937466972,0,200,27.997003822807,0,0,576.142,38.4459035839587,0
50,NORMAL,609.287714921247,271.023322549737,200,20,24.6981176707201,184,0,27.9057323266445,338.26439237151,0,63512.8661633223,6653.51207368278,-66850.546620906,1,1,model_causal_reserve_1h_annual,0.81733362685336,0.081733362685336,0.100933010461304,1,609.287714921247,271.023322549737,338.26439237151,0,0,0.89375,20,57967.2362163114,0,200,29.8933225497373,0,0,554.582,54.7057149212471,0
