scenarioId,phase,startH,endH,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,eBessChargeMWh,eBessDischargeMWh,ensMWh,cableActiveHours,hydrogenActiveHours,computeActiveHours
mix_E20_C80,P4_CABLE_SATURATION,18,24,2016.09573983665,463.68,0,669.144981412639,665.315739836653,0,0,0,6,0,6
mix_E20_C80,P5_ELECTROLYSIS_START,24,30,2529.7022336105,463.68,0,669.144981412639,1176.7622336105,0,0,0,6,0,6
mix_E20_C80,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,463.68,0,669.144981412639,2790.91315443314,133.684210526316,0,0,6,0,6
mix_E20_C80,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E20_C80,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0167537848433014,0,148.698884758364,928.250941252283,100,0,0,1,0,8
mix_H80_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-7.105427357601e-15,0,15.312141343284,0,0,0,0
mix_H80_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_H80_C20,P3_COMPUTE_START,12,18,1394.7460423458,0,0,468.401486988848,761.806042345804,0,-0,0,0,0,6
mix_H80_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,468.401486988848,1385.31573983665,0,0,0,0,0,6
mix_H80_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,10638,468.401486988848,1283.23363549698,0,0,0,0,6,6
mix_H80_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,10638,468.401486988848,2959.15191792009,72.7395646864194,0,0,0,6,6
mix_H80_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0.0432563290089558,117.83459749297,0,0,120.65,0,0,0,4
mix_H80_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,148.698884758364,928.269151887982,100,0,0,0,0,8
