timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
20,NORMAL,337.7668,257.257332621943,200,-1.68753899743024e-14,16.0481304647299,184,0,19.7642756221001,80.5094673780566,0,129362.13781105,5145.14665243887,-129146.923162183,1,1,model_causal_myopic_1h_annual,0.92571965131006,-7.81094006136624e-17,0.0742803486899405,1,337.7668,257.257332621943,80.5094673780566,14.9550493055431,0,0.89375,-1.68753899743024e-14,3.59839768418229e-13,0,200,21.1722833164003,0,0,337.7668,0,0
21,NORMAL,378.868,241.893876307375,200,0,15.699304156741,184,0,19.3833036153232,136.974123692625,0,129171.651807662,4837.87752614751,-124333.774281514,1,1,model_causal_myopic_1h_annual,0.927216713942976,0,0.0727832860570237,1,378.868,241.893876307375,136.974123692625,0,0,0.89375,0,3.59839768418229e-13,0,200,20.7638763073754,0,0,378.868,0,0
22,NORMAL,405.818,251.332560821064,200,-1.15463194561016e-14,24.9757919634804,184,0,28.1948178786622,154.485439178936,0,85737.4089393311,5026.65121642128,-80710.7577229098,1,1,model_causal_myopic_1h_annual,0.888984535867154,-5.1322497213282e-17,0.111015464132846,1,405.818,251.332560821064,154.485439178936,0,0,0.89375,-1.15463194561016e-14,1.56452073225317e-13,0,200,30.2025608210638,0,0,405.818,0,0
23,NORMAL,417.821202285986,250.084918681022,200,-3.5527136788005e-15,23.8556469357712,184,0,27.0304973373435,167.736283604964,0,85155.2486686717,5001.69837362045,-80153.5502950513,1,1,model_causal_myopic_1h_annual,0.893432900789785,-1.58705564386314e-17,0.106567099210215,1,417.821202285986,250.084918681022,167.736283604964,0,0,0.89375,-3.5527136788005e-15,9.38712439351902e-14,0,200,28.9549186810225,0,0,416.598,1.22320228598591,0
24,NORMAL,418.708896984047,250.323092092604,200,1.33226762955019e-14,23.7462962717866,184,0,26.9171495100771,168.385804891443,0,63018.5747550386,5006.46184185208,-58012.1129131865,1,1,model_causal_myopic_1h_annual,0.893869544803809,5.95436729791438e-17,0.106130455196191,1,418.708896984047,250.323092092604,168.385804891443,0,0,0.89375,1.33226762955019e-14,3.28549353773166e-13,0,200,28.8330920926041,0,0,407.974,10.0928515537293,0.642045430317657
25,NORMAL,403.223447699215,252.039065297778,200,6.21724893790088e-15,25.2869480252028,184,0,28.519016016789,151.184382401437,0,63819.5080083945,5040.78130595556,-58778.7267024389,1,1,model_causal_myopic_1h_annual,0.887756710955248,2.75970223415045e-17,0.112243289044752,1,403.223447699215,252.039065297778,151.184382401437,0,0,0.89375,6.21724893790088e-15,4.38065805030888e-13,0,200,30.549065297778,0,0,383.18,18.7107751458502,1.33267255336529
26,NORMAL,371.721150402731,249.360058286959,200,-7.105427357601e-15,22.881644627644,184,0,26.0179604966526,122.361092115771,0,62568.9802483263,4987.20116573919,-57581.7790825871,1,1,model_causal_myopic_1h_annual,0.897337240732089,-3.18798228964599e-17,0.102662759267911,1,371.721150402731,249.360058286959,122.361092115771,0,0,0.89375,-7.105427357601e-15,3.12904146450634e-13,0,200,27.8700582869594,0,0,343.3528,26.205879733197,2.16247066953362
27,NORMAL,336.137483719948,250.085955447567,200,8.88178419700122e-16,23.5333703165409,184,0,26.6955422835334,86.0515282723808,0,62907.7711417667,5001.71910895135,-57906.0520328153,1,1,model_causal_myopic_1h_annual,0.894720997213008,3.97335940688583e-18,0.105279002786992,1,336.137483719948,250.085955447567,86.0515282723808,0,0,0.89375,8.88178419700122e-16,3.28549353773166e-13,0,200,28.5959554475674,0,0,303.1336,29.6424683886943,3.36141533125378
28,NORMAL,304.28443342613,250.955921618615,200,-5.32907051820075e-15,24.3144473056148,184,0,27.5076143832411,53.3285118075156,0,63313.8071916205,5019.11843237229,-58294.6887592482,1,1,model_causal_myopic_1h_annual,0.891605522525761,-2.3757143519785e-17,0.108394477474239,1,304.28443342613,250.955921618615,53.3285118075156,0,0,0.89375,-5.32907051820075e-15,2.34678109837976e-13,0,200,29.4659216186146,0,0,267.3832,32.0790056675636,4.82222775856656
29,NORMAL,269.666241393465,250.071323499944,200,-1.77635683940024e-15,23.520221663736,184,0,26.6817306994051,19.5949178935204,0,62900.8653497026,5001.42646999889,-57899.4388797037,1,1,model_causal_myopic_1h_annual,0.894773629478948,-7.94718628219954e-18,0.105226370521052,1,269.666241393465,250.071323499944,19.5949178935204,0,0,0.89375,-1.77635683940024e-15,2.03387695192912e-13,0,200,28.5813234999444,0,0,230.5156,32.6671706192983,6.48347077416645
