timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
20,NORMAL,109.854633421327,109.854633421327,88.3646334213275,0,0,81.2954627476213,0,0,0,0,0,0,0,0,55803.1869035252,2197.09266842655,-53606.0942350986,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,109.854633421327,109.854633421327,0,0,0,0.10625,0,0,0,88.3646334213275,0,0,0,0,101.332,0,8.52263342132742
21,NORMAL,120.438633421327,120.438633421327,98.9486334213274,0,0,91.0327427476213,0,0,0,0,0,0,0,0,61840.3005035252,2408.77266842655,-59431.5278350986,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,120.438633421327,120.438633421327,0,0,0,0.10625,0,0,0,98.9486334213274,0,0,0,0,111.916,0,8.52263342132742
22,NORMAL,135.451470774166,135.451470774166,113.961470774166,0,0,104.844553112233,0,0,0,0,0,0,0,0,43144.0391204039,2709.02941548333,-40435.0097049206,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,135.451470774166,135.451470774166,0,0,0,0.10625,0,0,0,113.961470774166,0,0,0,0,128.968,0,6.48347077416645
23,NORMAL,149.660359508325,149.660359508325,128.170359508325,0,0,117.916730747659,0,0,0,0,0,0,0,0,47850.0230691573,2993.2071901665,-44856.8158789908,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,149.660359508325,149.660359508325,0,0,0,0.10625,0,0,0,128.170359508325,0,0,0,0,143.668,1.1701317497587,4.82222775856656
24,NORMAL,176.716251931771,176.716251931771,80.5862519317706,0,0,74.139351777229,0,0,0,0,0,0,0,0,23193.444426535,3534.32503863541,-44382.8693878995,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,176.716251931771,176.716251931771,0,75,0,0.5515625,0,0,0,80.5862519317706,0,0,0,0,161.2492,15.4670519317706,0
25,NORMAL,211.253226442193,211.253226442193,132.491647494824,0,0,121.892315695238,0,0,0,0,0,0,0,0,34654.1557668572,4225.06452884385,-49427.3412380133,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,211.253226442193,211.253226442193,0,57.6315789473684,0,0.89375,0,0,0,132.491647494824,0,0,0,0,175.7728,35.4804264421927,0
26,NORMAL,234.917611746144,221.13,200,0,0,184,0,0,0,0,0,0,13.7876117461439,0,49560,4422.6,-45137.4,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,13.7876117461439,1,MAIN_CONCLUSION_ELIGIBLE,234.917611746144,221.13,13.7876117461439,0,0,0.89375,0,0,0,200,0,0,0,0,182.476,52.4416117461439,0
27,NORMAL,235.344559933185,221.13,200,0,0,184,0,0,0,0,0,0,14.2145599331846,0,49560,4422.6,-45137.4,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,14.2145599331846,1,MAIN_CONCLUSION_ELIGIBLE,235.344559933185,221.13,14.2145599331846,0,0,0.89375,0,0,0,200,0,0,0,0,176.89,58.4545599331846,0
28,NORMAL,209.956409748643,209.956409748643,188.826409748643,0,0,173.720296968752,0,0,0,0,0,0,0,0,47092.8712725004,4199.12819497286,-42893.7430775275,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,209.956409748643,209.956409748643,0,0,0,0.89375,0,0,0,188.826409748643,0,0,0,0,148.96,60.996409748643,0
29,NORMAL,173.53876448071,173.53876448071,152.40876448071,0,0,140.216063322253,0,0,0,0,0,0,0,0,39051.8551973407,3470.77528961419,-35581.0799077265,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,173.53876448071,173.53876448071,0,0,0,0.89375,0,0,0,152.40876448071,0,0,0,0,124.852,48.6867644807095,0
